miRNA,disease,preScore
hsa-mir-4639,Liver Neoplasms,0.0083
hsa-mir-16-2,Lung Neoplasms,0.9525
hsa-mir-23b,Lung Neoplasms,0.9422
hsa-mir-16-1,Lung Neoplasms,0.9055
hsa-mir-429,Lung Neoplasms,0.8961
hsa-mir-193b,Lung Neoplasms,0.8894
hsa-mir-125b-2,Lung Neoplasms,0.8715
hsa-mir-424,Lung Neoplasms,0.8702
hsa-mir-483,Lung Neoplasms,0.8595
hsa-mir-92b,Lung Neoplasms,0.8518
hsa-mir-199a-2,Lung Neoplasms,0.8452
hsa-mir-151a,Lung Neoplasms,0.8395
hsa-mir-296,Lung Neoplasms,0.8332
hsa-mir-204,Lung Neoplasms,0.8286
hsa-mir-425,Lung Neoplasms,0.824
hsa-mir-455,Lung Neoplasms,0.8175
hsa-mir-218-1,Lung Neoplasms,0.8166
hsa-mir-367,Lung Neoplasms,0.8134
hsa-mir-708,Lung Neoplasms,0.8062
hsa-mir-28,Lung Neoplasms,0.7946
hsa-mir-133a-2,Lung Neoplasms,0.7886
hsa-mir-92a-2,Lung Neoplasms,0.7817
hsa-mir-302a,Lung Neoplasms,0.7812
hsa-mir-378a,Lung Neoplasms,0.7672
hsa-mir-20b,Lung Neoplasms,0.7627
hsa-mir-409,Lung Neoplasms,0.7568
hsa-mir-363,Lung Neoplasms,0.7551
hsa-mir-484,Lung Neoplasms,0.7346
hsa-mir-491,Lung Neoplasms,0.7341
hsa-mir-452,Lung Neoplasms,0.7323
hsa-mir-422a,Lung Neoplasms,0.7268
hsa-mir-625,Lung Neoplasms,0.7178
hsa-mir-1271,Lung Neoplasms,0.7135
hsa-mir-650,Lung Neoplasms,0.7122
hsa-mir-99b,Lung Neoplasms,0.7117
hsa-mir-382,Lung Neoplasms,0.7043
hsa-mir-339,Lung Neoplasms,0.6945
hsa-mir-194-1,Lung Neoplasms,0.6916
hsa-mir-520a,Lung Neoplasms,0.6914
hsa-mir-744,Lung Neoplasms,0.6905
hsa-mir-1207,Lung Neoplasms,0.6894
hsa-mir-302c,Lung Neoplasms,0.6881
hsa-mir-302d,Lung Neoplasms,0.6797
hsa-mir-433,Lung Neoplasms,0.679
hsa-mir-421,Lung Neoplasms,0.6786
hsa-mir-1246,Lung Neoplasms,0.6777
hsa-mir-505,Lung Neoplasms,0.6743
hsa-mir-885,Lung Neoplasms,0.6734
hsa-mir-194-2,Lung Neoplasms,0.6696
hsa-mir-374b,Lung Neoplasms,0.6679
hsa-mir-345,Lung Neoplasms,0.6674
hsa-mir-454,Lung Neoplasms,0.6662
hsa-mir-519d,Lung Neoplasms,0.6634
hsa-mir-376c,Lung Neoplasms,0.6617
hsa-mir-613,Lung Neoplasms,0.6578
hsa-mir-19b-2,Lung Neoplasms,0.6568
hsa-mir-874,Lung Neoplasms,0.655
hsa-mir-181d,Lung Neoplasms,0.6482
hsa-mir-675,Lung Neoplasms,0.6482
hsa-mir-502,Lung Neoplasms,0.6471
hsa-mir-520d,Lung Neoplasms,0.6444
hsa-mir-432,Lung Neoplasms,0.6418
hsa-mir-628,Lung Neoplasms,0.6403
hsa-mir-661,Lung Neoplasms,0.6357
hsa-mir-1290,Lung Neoplasms,0.6353
hsa-mir-128-1,Lung Neoplasms,0.6322
hsa-mir-379,Lung Neoplasms,0.6277
hsa-mir-431,Lung Neoplasms,0.6273
hsa-mir-532,Lung Neoplasms,0.6273
hsa-mir-663a,Lung Neoplasms,0.6219
hsa-mir-543,Lung Neoplasms,0.6195
hsa-mir-513c,Lung Neoplasms,0.6187
hsa-mir-584,Lung Neoplasms,0.6153
hsa-mir-181a-1,Lung Neoplasms,0.614
hsa-mir-153-2,Lung Neoplasms,0.6111
hsa-mir-520g,Lung Neoplasms,0.6067
hsa-mir-489,Lung Neoplasms,0.5988
hsa-mir-760,Lung Neoplasms,0.593
hsa-mir-211,Lung Neoplasms,0.5902
hsa-mir-337,Lung Neoplasms,0.5857
hsa-mir-151b,Lung Neoplasms,0.5838
hsa-mir-501,Lung Neoplasms,0.5829
hsa-mir-646,Lung Neoplasms,0.5815
hsa-mir-518e,Lung Neoplasms,0.5806
hsa-mir-1231,Lung Neoplasms,0.5784
hsa-mir-561,Lung Neoplasms,0.5784
hsa-mir-188,Lung Neoplasms,0.5774
hsa-mir-552,Lung Neoplasms,0.5774
hsa-mir-448,Lung Neoplasms,0.5768
hsa-mir-766,Lung Neoplasms,0.5762
hsa-mir-208b,Lung Neoplasms,0.5749
hsa-mir-369,Lung Neoplasms,0.5717
hsa-mir-519c,Lung Neoplasms,0.5694
hsa-mir-627,Lung Neoplasms,0.5679
hsa-mir-488,Lung Neoplasms,0.5632
hsa-mir-190a,Lung Neoplasms,0.563
hsa-mir-539,Lung Neoplasms,0.5618
hsa-mir-636,Lung Neoplasms,0.5603
hsa-mir-765,Lung Neoplasms,0.5597
hsa-mir-450a-2,Lung Neoplasms,0.5571
hsa-mir-622,Lung Neoplasms,0.5568
hsa-mir-603,Lung Neoplasms,0.5544
hsa-mir-576,Lung Neoplasms,0.5524
hsa-mir-1303,Lung Neoplasms,0.5523
hsa-mir-718,Lung Neoplasms,0.5509
hsa-mir-524,Lung Neoplasms,0.5488
hsa-mir-1914,Lung Neoplasms,0.5477
hsa-mir-384,Lung Neoplasms,0.5465
hsa-mir-942,Lung Neoplasms,0.5448
hsa-mir-4782,Lung Neoplasms,0.5405
hsa-mir-595,Lung Neoplasms,0.5379
hsa-mir-665,Lung Neoplasms,0.5378
hsa-mir-371a,Lung Neoplasms,0.5372
hsa-mir-573,Lung Neoplasms,0.5348
hsa-mir-323a,Lung Neoplasms,0.5344
hsa-mir-1247,Lung Neoplasms,0.5341
hsa-mir-761,Lung Neoplasms,0.5339
hsa-mir-508,Lung Neoplasms,0.5323
hsa-mir-500a,Lung Neoplasms,0.5322
hsa-mir-940,Lung Neoplasms,0.5308
hsa-mir-507,Lung Neoplasms,0.5307
hsa-mir-612,Lung Neoplasms,0.53
hsa-mir-4697,Lung Neoplasms,0.5285
hsa-mir-298,Lung Neoplasms,0.5275
hsa-mir-525,Lung Neoplasms,0.5268
hsa-mir-4775,Lung Neoplasms,0.5236
hsa-mir-378g,Lung Neoplasms,0.523
hsa-mir-635,Lung Neoplasms,0.5216
hsa-mir-1275,Lung Neoplasms,0.5209
hsa-mir-575,Lung Neoplasms,0.52
hsa-mir-604,Lung Neoplasms,0.5185
hsa-mir-6875,Lung Neoplasms,0.5182
hsa-mir-516b-2,Lung Neoplasms,0.5179
hsa-mir-615,Lung Neoplasms,0.5175
hsa-mir-651,Lung Neoplasms,0.5158
hsa-mir-762,Lung Neoplasms,0.5151
hsa-mir-4728,Lung Neoplasms,0.5149
hsa-mir-1296,Lung Neoplasms,0.5146
hsa-mir-647,Lung Neoplasms,0.5135
hsa-mir-567,Lung Neoplasms,0.5127
hsa-mir-1306,Lung Neoplasms,0.5127
hsa-mir-6780b,Lung Neoplasms,0.5119
hsa-mir-519b,Lung Neoplasms,0.5105
hsa-mir-655,Lung Neoplasms,0.5095
hsa-mir-600,Lung Neoplasms,0.5089
hsa-mir-637,Lung Neoplasms,0.5073
hsa-mir-758,Lung Neoplasms,0.507
hsa-mir-5010,Lung Neoplasms,0.5062
hsa-mir-1301,Lung Neoplasms,0.5053
hsa-mir-1538,Lung Neoplasms,0.502
hsa-mir-599,Lung Neoplasms,0.5009
hsa-mir-147a,Lung Neoplasms,0.5001
hsa-mir-3178,Lung Neoplasms,0.4996
hsa-mir-323b,Lung Neoplasms,0.4995
hsa-mir-513b,Lung Neoplasms,0.4991
hsa-mir-601,Lung Neoplasms,0.499
hsa-mir-302f,Lung Neoplasms,0.4957
hsa-mir-3189,Lung Neoplasms,0.4953
hsa-mir-1307,Lung Neoplasms,0.4952
hsa-mir-1469,Lung Neoplasms,0.4945
hsa-mir-1248,Lung Neoplasms,0.4941
hsa-mir-297,Lung Neoplasms,0.4939
hsa-mir-510,Lung Neoplasms,0.4937
hsa-mir-1292,Lung Neoplasms,0.4932
hsa-mir-767,Lung Neoplasms,0.493
hsa-mir-3200,Lung Neoplasms,0.4928
hsa-mir-7702,Lung Neoplasms,0.492
hsa-mir-2355,Lung Neoplasms,0.4917
hsa-mir-593,Lung Neoplasms,0.4909
hsa-mir-544a,Lung Neoplasms,0.4906
hsa-mir-516a-2,Lung Neoplasms,0.4905
hsa-mir-658,Lung Neoplasms,0.4902
hsa-mir-4706,Lung Neoplasms,0.4886
hsa-mir-544b,Lung Neoplasms,0.4884
hsa-mir-4317,Lung Neoplasms,0.4883
hsa-mir-3182,Lung Neoplasms,0.488
hsa-mir-7847,Lung Neoplasms,0.4872
hsa-mir-520f,Lung Neoplasms,0.4857
hsa-mir-572,Lung Neoplasms,0.4857
hsa-mir-519e,Lung Neoplasms,0.4851
hsa-mir-1180,Lung Neoplasms,0.4849
hsa-mir-1825,Lung Neoplasms,0.4842
hsa-mir-4466,Lung Neoplasms,0.4837
hsa-mir-3126,Lung Neoplasms,0.4829
hsa-mir-1266,Lung Neoplasms,0.4817
hsa-mir-4282,Lung Neoplasms,0.4798
hsa-mir-1299,Lung Neoplasms,0.4794
hsa-mir-1249,Lung Neoplasms,0.4789
hsa-mir-1256,Lung Neoplasms,0.4787
hsa-mir-516b-1,Lung Neoplasms,0.4786
hsa-mir-892a,Lung Neoplasms,0.4782
hsa-mir-518c,Lung Neoplasms,0.4781
hsa-mir-527,Lung Neoplasms,0.4777
hsa-mir-4257,Lung Neoplasms,0.4773
hsa-mir-3151,Lung Neoplasms,0.4773
hsa-mir-516a-1,Lung Neoplasms,0.4766
hsa-mir-4731,Lung Neoplasms,0.4762
hsa-mir-2116,Lung Neoplasms,0.4755
hsa-mir-1233-1,Lung Neoplasms,0.4749
hsa-mir-888,Lung Neoplasms,0.4746
hsa-mir-4695,Lung Neoplasms,0.4741
hsa-mir-1225,Lung Neoplasms,0.4736
hsa-mir-3117,Lung Neoplasms,0.472
hsa-mir-518b,Lung Neoplasms,0.4718
hsa-mir-579,Lung Neoplasms,0.4715
hsa-mir-550a-2,Lung Neoplasms,0.4713
hsa-mir-548d-1,Lung Neoplasms,0.4713
hsa-mir-4258,Lung Neoplasms,0.471
hsa-mir-4723,Lung Neoplasms,0.4708
hsa-mir-933,Lung Neoplasms,0.4703
hsa-mir-378c,Lung Neoplasms,0.469
hsa-mir-631,Lung Neoplasms,0.4687
hsa-mir-568,Lung Neoplasms,0.4683
hsa-mir-589,Lung Neoplasms,0.4683
hsa-mir-378d-1,Lung Neoplasms,0.4681
hsa-mir-1295b,Lung Neoplasms,0.4677
hsa-mir-578,Lung Neoplasms,0.4663
hsa-mir-3148,Lung Neoplasms,0.4659
hsa-mir-450a-1,Lung Neoplasms,0.4658
hsa-mir-922,Lung Neoplasms,0.4652
hsa-mir-1179,Lung Neoplasms,0.4649
hsa-mir-3664,Lung Neoplasms,0.4644
hsa-mir-518a-1,Lung Neoplasms,0.4637
hsa-mir-3142,Lung Neoplasms,0.4628
hsa-mir-548l,Lung Neoplasms,0.4628
hsa-mir-512-2,Lung Neoplasms,0.4626
hsa-mir-3186,Lung Neoplasms,0.4624
hsa-mir-1182,Lung Neoplasms,0.4624
hsa-mir-4298,Lung Neoplasms,0.4617
hsa-mir-4518,Lung Neoplasms,0.4615
hsa-mir-1284,Lung Neoplasms,0.4612
hsa-mir-1281,Lung Neoplasms,0.4609
hsa-mir-514b,Lung Neoplasms,0.4603
hsa-mir-4469,Lung Neoplasms,0.4593
hsa-mir-1233-2,Lung Neoplasms,0.4591
hsa-mir-5590,Lung Neoplasms,0.4587
hsa-mir-320c-1,Lung Neoplasms,0.4585
hsa-mir-514a-3,Lung Neoplasms,0.4582
hsa-mir-515-2,Lung Neoplasms,0.4582
hsa-mir-4270,Lung Neoplasms,0.458
hsa-mir-519a-1,Lung Neoplasms,0.4577
hsa-mir-3131,Lung Neoplasms,0.4576
hsa-mir-3940,Lung Neoplasms,0.4575
hsa-mir-4764,Lung Neoplasms,0.4574
hsa-mir-620,Lung Neoplasms,0.4574
hsa-mir-6826,Lung Neoplasms,0.4566
hsa-mir-548d-2,Lung Neoplasms,0.4558
hsa-mir-23c,Lung Neoplasms,0.4558
hsa-mir-153-1,Lung Neoplasms,0.4552
hsa-mir-1227,Lung Neoplasms,0.4551
hsa-mir-6852,Lung Neoplasms,0.4543
hsa-mir-378b,Lung Neoplasms,0.4541
hsa-mir-541,Lung Neoplasms,0.4535
hsa-mir-587,Lung Neoplasms,0.4534
hsa-mir-550a-1,Lung Neoplasms,0.4528
hsa-mir-920,Lung Neoplasms,0.4526
hsa-mir-548t,Lung Neoplasms,0.4506
hsa-mir-6798,Lung Neoplasms,0.4506
hsa-mir-1229,Lung Neoplasms,0.45
hsa-mir-3127,Lung Neoplasms,0.4497
hsa-mir-7706,Lung Neoplasms,0.4495
hsa-mir-3667,Lung Neoplasms,0.4492
hsa-mir-325,Lung Neoplasms,0.4492
hsa-mir-632,Lung Neoplasms,0.4488
hsa-mir-1260b,Lung Neoplasms,0.4485
hsa-mir-626,Lung Neoplasms,0.4484
hsa-mir-1305,Lung Neoplasms,0.4483
hsa-mir-4319,Lung Neoplasms,0.4467
hsa-mir-1468,Lung Neoplasms,0.4463
hsa-mir-320c-2,Lung Neoplasms,0.4461
hsa-mir-5003,Lung Neoplasms,0.446
hsa-mir-657,Lung Neoplasms,0.4459
hsa-mir-3622b,Lung Neoplasms,0.4451
hsa-mir-320b-1,Lung Neoplasms,0.4445
hsa-mir-4489,Lung Neoplasms,0.4441
hsa-mir-4443,Lung Neoplasms,0.4435
hsa-mir-4758,Lung Neoplasms,0.4429
hsa-mir-634,Lung Neoplasms,0.4429
hsa-mir-643,Lung Neoplasms,0.442
hsa-mir-1269a,Lung Neoplasms,0.4416
hsa-mir-664a,Lung Neoplasms,0.4416
hsa-mir-5004,Lung Neoplasms,0.441
hsa-mir-943,Lung Neoplasms,0.4405
hsa-mir-3176,Lung Neoplasms,0.4402
hsa-mir-4644,Lung Neoplasms,0.4402
hsa-mir-492,Lung Neoplasms,0.4397
hsa-mir-642a,Lung Neoplasms,0.4396
hsa-mir-4291,Lung Neoplasms,0.4395
hsa-mir-1181,Lung Neoplasms,0.4395
hsa-mir-1908,Lung Neoplasms,0.4385
hsa-mir-5189,Lung Neoplasms,0.4382
hsa-mir-1273c,Lung Neoplasms,0.4379
hsa-mir-518a-2,Lung Neoplasms,0.4378
hsa-mir-598,Lung Neoplasms,0.4375
hsa-mir-3960,Lung Neoplasms,0.4352
hsa-mir-644a,Lung Neoplasms,0.4352
hsa-mir-602,Lung Neoplasms,0.4351
hsa-mir-606,Lung Neoplasms,0.4349
hsa-mir-4447,Lung Neoplasms,0.4349
hsa-mir-320e,Lung Neoplasms,0.4342
hsa-mir-5193,Lung Neoplasms,0.4333
hsa-mir-1291,Lung Neoplasms,0.4332
hsa-mir-1471,Lung Neoplasms,0.4312
hsa-mir-4455,Lung Neoplasms,0.4312
hsa-mir-4467,Lung Neoplasms,0.4304
hsa-mir-670,Lung Neoplasms,0.4297
hsa-mir-4281,Lung Neoplasms,0.4295
hsa-mir-3065,Lung Neoplasms,0.4292
hsa-mir-1267,Lung Neoplasms,0.4287
hsa-mir-1304,Lung Neoplasms,0.4286
hsa-mir-1287,Lung Neoplasms,0.4279
hsa-mir-645,Lung Neoplasms,0.4275
hsa-mir-3611,Lung Neoplasms,0.4273
hsa-mir-6867,Lung Neoplasms,0.4264
hsa-mir-1268a,Lung Neoplasms,0.4256
hsa-mir-4772,Lung Neoplasms,0.4247
hsa-mir-6729,Lung Neoplasms,0.4246
hsa-mir-6124,Lung Neoplasms,0.4245
hsa-mir-4634,Lung Neoplasms,0.4244
hsa-mir-514a-2,Lung Neoplasms,0.4244
hsa-mir-320d-1,Lung Neoplasms,0.4238
hsa-mir-3654,Lung Neoplasms,0.4237
hsa-mir-5582,Lung Neoplasms,0.4234
hsa-mir-548an,Lung Neoplasms,0.423
hsa-mir-3682,Lung Neoplasms,0.423
hsa-mir-3610,Lung Neoplasms,0.4226
hsa-mir-1185-1,Lung Neoplasms,0.4226
hsa-mir-7161,Lung Neoplasms,0.4225
hsa-mir-624,Lung Neoplasms,0.4224
hsa-mir-378i,Lung Neoplasms,0.4223
hsa-mir-4449,Lung Neoplasms,0.4222
hsa-mir-4262,Lung Neoplasms,0.4219
hsa-mir-3163,Lung Neoplasms,0.4211
hsa-mir-6861,Lung Neoplasms,0.421
hsa-mir-4271,Lung Neoplasms,0.4207
hsa-mir-3908,Lung Neoplasms,0.4204
hsa-mir-466,Lung Neoplasms,0.4199
hsa-mir-521-1,Lung Neoplasms,0.4197
hsa-mir-876,Lung Neoplasms,0.4196
hsa-mir-1282,Lung Neoplasms,0.4193
hsa-mir-663b,Lung Neoplasms,0.4193
hsa-mir-302e,Lung Neoplasms,0.418
hsa-mir-3120,Lung Neoplasms,0.4173
hsa-mir-4516,Lung Neoplasms,0.4171
hsa-mir-621,Lung Neoplasms,0.4169
hsa-mir-7107,Lung Neoplasms,0.4169
hsa-mir-4301,Lung Neoplasms,0.4162
hsa-mir-4746,Lung Neoplasms,0.4161
hsa-mir-3196,Lung Neoplasms,0.4158
hsa-mir-4732,Lung Neoplasms,0.4141
hsa-mir-517c,Lung Neoplasms,0.4139
hsa-mir-1915,Lung Neoplasms,0.4132
hsa-mir-1285-2,Lung Neoplasms,0.4131
hsa-mir-1268b,Lung Neoplasms,0.4125
hsa-mir-512-1,Lung Neoplasms,0.4123
hsa-mir-3686,Lung Neoplasms,0.4117
hsa-mir-3658,Lung Neoplasms,0.4112
hsa-mir-664b,Lung Neoplasms,0.4107
hsa-mir-1206,Lung Neoplasms,0.4107
hsa-mir-611,Lung Neoplasms,0.4107
hsa-mir-571,Lung Neoplasms,0.4103
hsa-mir-921,Lung Neoplasms,0.409
hsa-mir-551a,Lung Neoplasms,0.4089
hsa-mir-451b,Lung Neoplasms,0.4087
hsa-mir-617,Lung Neoplasms,0.4078
hsa-mir-1234,Lung Neoplasms,0.4071
hsa-mir-4778,Lung Neoplasms,0.407
hsa-mir-6853,Lung Neoplasms,0.4068
hsa-mir-514a-1,Lung Neoplasms,0.4064
hsa-mir-4324,Lung Neoplasms,0.4064
hsa-mir-2682,Lung Neoplasms,0.4063
hsa-mir-3928,Lung Neoplasms,0.4061
hsa-mir-3677,Lung Neoplasms,0.4055
hsa-mir-548c,Lung Neoplasms,0.4048
hsa-mir-519a-2,Lung Neoplasms,0.4047
hsa-mir-320b-2,Lung Neoplasms,0.4045
hsa-mir-562,Lung Neoplasms,0.4045
hsa-mir-3130-1,Lung Neoplasms,0.4044
hsa-mir-4633,Lung Neoplasms,0.4039
hsa-mir-1245a,Lung Neoplasms,0.4036
hsa-mir-509-3,Lung Neoplasms,0.4034
hsa-mir-6086,Lung Neoplasms,0.4032
hsa-mir-6831,Lung Neoplasms,0.4032
hsa-mir-3923,Lung Neoplasms,0.4031
hsa-mir-597,Lung Neoplasms,0.403
hsa-mir-3976,Lung Neoplasms,0.403
hsa-mir-1277,Lung Neoplasms,0.4023
hsa-mir-889,Lung Neoplasms,0.4018
hsa-mir-4496,Lung Neoplasms,0.4004
hsa-mir-371b,Lung Neoplasms,0.4001
hsa-mir-591,Lung Neoplasms,0.3998
hsa-mir-3622a,Lung Neoplasms,0.3996
hsa-mir-378h,Lung Neoplasms,0.3995
hsa-mir-4736,Lung Neoplasms,0.3991
hsa-mir-1265,Lung Neoplasms,0.3989
hsa-mir-3130-2,Lung Neoplasms,0.3977
hsa-mir-4511,Lung Neoplasms,0.3973
hsa-mir-3171,Lung Neoplasms,0.3967
hsa-mir-2110,Lung Neoplasms,0.3967
hsa-mir-3646,Lung Neoplasms,0.3965
hsa-mir-3619,Lung Neoplasms,0.3963
hsa-mir-577,Lung Neoplasms,0.3955
hsa-mir-551b,Lung Neoplasms,0.395
hsa-mir-656,Lung Neoplasms,0.3946
hsa-mir-649,Lung Neoplasms,0.3945
hsa-mir-4306,Lung Neoplasms,0.3936
hsa-mir-569,Lung Neoplasms,0.3923
hsa-mir-4709,Lung Neoplasms,0.3923
hsa-mir-4310,Lung Neoplasms,0.3918
hsa-mir-6869,Lung Neoplasms,0.3918
hsa-mir-4534,Lung Neoplasms,0.3916
hsa-mir-4279,Lung Neoplasms,0.3915
hsa-mir-1324,Lung Neoplasms,0.39
hsa-mir-3915,Lung Neoplasms,0.3895
hsa-mir-3663,Lung Neoplasms,0.3892
hsa-mir-3135b,Lung Neoplasms,0.3888
hsa-mir-618,Lung Neoplasms,0.3887
hsa-mir-105-1,Lung Neoplasms,0.3882
hsa-mir-4290,Lung Neoplasms,0.3878
hsa-mir-3175,Lung Neoplasms,0.3876
hsa-mir-4463,Lung Neoplasms,0.3873
hsa-mir-4458,Lung Neoplasms,0.3872
hsa-mir-654,Lung Neoplasms,0.3863
hsa-mir-3201,Lung Neoplasms,0.3853
hsa-mir-523,Lung Neoplasms,0.3849
hsa-mir-4521,Lung Neoplasms,0.3842
hsa-mir-380,Lung Neoplasms,0.3842
hsa-mir-3149,Lung Neoplasms,0.3833
hsa-mir-640,Lung Neoplasms,0.3832
hsa-mir-1910,Lung Neoplasms,0.383
hsa-mir-4293,Lung Neoplasms,0.3827
hsa-mir-4739,Lung Neoplasms,0.3825
hsa-mir-3613,Lung Neoplasms,0.3822
hsa-mir-1293,Lung Neoplasms,0.3816
hsa-mir-5699,Lung Neoplasms,0.3814
hsa-mir-4666a,Lung Neoplasms,0.3805
hsa-mir-4446,Lung Neoplasms,0.3804
hsa-mir-4478,Lung Neoplasms,0.3803
hsa-mir-585,Lung Neoplasms,0.3794
hsa-mir-1253,Lung Neoplasms,0.3778
hsa-mir-1322,Lung Neoplasms,0.3776
hsa-mir-3179-3,Lung Neoplasms,0.3771
hsa-mir-581,Lung Neoplasms,0.377
hsa-mir-1184-1,Lung Neoplasms,0.3765
hsa-mir-877,Lung Neoplasms,0.3759
hsa-mir-4487,Lung Neoplasms,0.3758
hsa-mir-1270,Lung Neoplasms,0.3751
hsa-mir-639,Lung Neoplasms,0.3748
hsa-mir-770,Lung Neoplasms,0.3748
hsa-mir-1264,Lung Neoplasms,0.3746
hsa-mir-3666,Lung Neoplasms,0.3742
hsa-mir-1245b,Lung Neoplasms,0.3726
hsa-mir-556,Lung Neoplasms,0.3725
hsa-mir-662,Lung Neoplasms,0.3714
hsa-mir-1285-1,Lung Neoplasms,0.37
hsa-mir-3157,Lung Neoplasms,0.3689
hsa-mir-3144,Lung Neoplasms,0.368
hsa-mir-329-1,Lung Neoplasms,0.3673
hsa-mir-938,Lung Neoplasms,0.3663
hsa-mir-633,Lung Neoplasms,0.366
hsa-mir-4661,Lung Neoplasms,0.3657
hsa-mir-517b,Lung Neoplasms,0.3655
hsa-mir-509-2,Lung Neoplasms,0.3651
hsa-mir-4513,Lung Neoplasms,0.3645
hsa-mir-764,Lung Neoplasms,0.3638
hsa-mir-6133,Lung Neoplasms,0.3636
hsa-mir-4448,Lung Neoplasms,0.3621
hsa-mir-518d,Lung Neoplasms,0.362
hsa-mir-550b-2,Lung Neoplasms,0.3608
hsa-mir-935,Lung Neoplasms,0.3606
hsa-mir-376b,Lung Neoplasms,0.3602
hsa-mir-378d-2,Lung Neoplasms,0.3597
hsa-mir-105-2,Lung Neoplasms,0.3594
hsa-mir-450b,Lung Neoplasms,0.358
hsa-mir-4530,Lung Neoplasms,0.3576
hsa-mir-4268,Lung Neoplasms,0.3575
hsa-mir-496,Lung Neoplasms,0.357
hsa-mir-3195,Lung Neoplasms,0.357
hsa-mir-6799,Lung Neoplasms,0.3566
hsa-mir-3179-1,Lung Neoplasms,0.3565
hsa-mir-320d-2,Lung Neoplasms,0.3558
hsa-mir-6508,Lung Neoplasms,0.3557
hsa-mir-5091,Lung Neoplasms,0.3554
hsa-mir-4295,Lung Neoplasms,0.3545
hsa-mir-548ac,Lung Neoplasms,0.3543
hsa-mir-374c,Lung Neoplasms,0.3538
hsa-mir-3179-2,Lung Neoplasms,0.3537
hsa-mir-518f,Lung Neoplasms,0.3536
hsa-mir-555,Lung Neoplasms,0.3534
hsa-mir-2861,Lung Neoplasms,0.353
hsa-mir-3161,Lung Neoplasms,0.3529
hsa-mir-668,Lung Neoplasms,0.3526
hsa-mir-521-2,Lung Neoplasms,0.3521
hsa-mir-4488,Lung Neoplasms,0.352
hsa-mir-6880,Lung Neoplasms,0.352
hsa-mir-548a-1,Lung Neoplasms,0.3512
hsa-mir-548a-3,Lung Neoplasms,0.3507
hsa-mir-3074,Lung Neoplasms,0.3491
hsa-mir-6088,Lung Neoplasms,0.3488
hsa-mir-8084,Lung Neoplasms,0.3485
hsa-mir-6068,Lung Neoplasms,0.3475
hsa-mir-548a-2,Lung Neoplasms,0.3472
hsa-mir-1261,Lung Neoplasms,0.3461
hsa-mir-3162,Lung Neoplasms,0.3457
hsa-mir-4701,Lung Neoplasms,0.3457
hsa-mir-4687,Lung Neoplasms,0.3438
hsa-mir-509-1,Lung Neoplasms,0.3437
hsa-mir-1302-1,Lung Neoplasms,0.3431
hsa-mir-802,Lung Neoplasms,0.343
hsa-mir-1255a,Lung Neoplasms,0.3422
hsa-mir-5586,Lung Neoplasms,0.3417
hsa-mir-3185,Lung Neoplasms,0.3413
hsa-mir-6873,Lung Neoplasms,0.3407
hsa-mir-1972-1,Lung Neoplasms,0.34
hsa-mir-619,Lung Neoplasms,0.339
hsa-mir-329-2,Lung Neoplasms,0.3378
hsa-mir-1286,Lung Neoplasms,0.3378
hsa-mir-586,Lung Neoplasms,0.3375
hsa-mir-3714,Lung Neoplasms,0.3366
hsa-mir-4284,Lung Neoplasms,0.3363
hsa-mir-891a,Lung Neoplasms,0.3362
hsa-mir-4294,Lung Neoplasms,0.3358
hsa-mir-548p,Lung Neoplasms,0.3356
hsa-mir-550b-1,Lung Neoplasms,0.3355
hsa-mir-3925,Lung Neoplasms,0.3337
hsa-mir-550a-3,Lung Neoplasms,0.3335
hsa-mir-941-1,Lung Neoplasms,0.3318
hsa-mir-4508,Lung Neoplasms,0.33
hsa-mir-941-3,Lung Neoplasms,0.3296
hsa-mir-1294,Lung Neoplasms,0.3294
hsa-mir-4454,Lung Neoplasms,0.3281
hsa-mir-6126,Lung Neoplasms,0.3253
hsa-mir-4436b-2,Lung Neoplasms,0.3235
hsa-mir-648,Lung Neoplasms,0.3231
hsa-mir-1288,Lung Neoplasms,0.3214
hsa-mir-6075,Lung Neoplasms,0.3206
hsa-mir-500b,Lung Neoplasms,0.3181
hsa-mir-1237,Lung Neoplasms,0.3157
hsa-mir-2278,Lung Neoplasms,0.3147
hsa-mir-3177,Lung Neoplasms,0.3134
hsa-mir-934,Lung Neoplasms,0.3134
hsa-mir-487a,Lung Neoplasms,0.3098
hsa-mir-4505,Lung Neoplasms,0.3096
hsa-mir-1976,Lung Neoplasms,0.3093
hsa-mir-875,Lung Neoplasms,0.3076
hsa-mir-583,Lung Neoplasms,0.3071
hsa-mir-1276,Lung Neoplasms,0.3067
hsa-mir-4753,Lung Neoplasms,0.3065
hsa-mir-892b,Lung Neoplasms,0.3064
hsa-mir-4490,Lung Neoplasms,0.3058
hsa-mir-711,Lung Neoplasms,0.3041
hsa-mir-9500,Lung Neoplasms,0.3035
hsa-mir-1302-8,Lung Neoplasms,0.3035
hsa-mir-548b,Lung Neoplasms,0.3025
hsa-mir-3945,Lung Neoplasms,0.3019
hsa-mir-1302-7,Lung Neoplasms,0.2994
hsa-mir-6721,Lung Neoplasms,0.2959
hsa-mir-4672,Lung Neoplasms,0.2945
hsa-mir-6836,Lung Neoplasms,0.2908
hsa-mir-4480,Lung Neoplasms,0.2906
hsa-mir-659,Lung Neoplasms,0.29
hsa-mir-3614,Lung Neoplasms,0.2872
